Location	Transcriptional unit	Functional component	Imprinting status	Expressed allele	Ensembl ID
1p36 	TP73		I	M	ENSG00000078900
1p31	ARHI		I	P	ENSG00000162595
2p15 	COMMD1		NI	M	ENSG00000173163
4q22 	NAP1L5		NR	P	ENSG00000177432
6q24 	HYMAI		I	P	ENSG00000283122
	PLAGL1		I	P	ENSG00000118495
6q25 	IGF2R		NI	M	ENSG00000197081
	SLC22A2		NR	M	ENSG00000112499
	SLC22A3		NR	M	ENSG00000146477
7p12 	GRB10		I	P/M	ENSG00000106070
7q21 	CALCR		PD	M	ENSG00000004948
	SGCE		I	P	ENSG00000127990
	PEG10		I	P	ENSG00000242265
	PPP1R9A		I	M	ENSG00000158528
	PON1		PD	P	ENSG00000005421
	PON3		NR	M	ENSG00000105852
	PON2		NR	M	ENSG00000105854
	ASB4		NR	M	ENSG00000005981
	DLX5		I	M	ENSG00000105880
7q32 	CPA4		I	M	ENSG00000128510
	MEST		I	P	ENSG00000106484
	MESTIT1		I	P	ENSG00000272701
	COPG2IT1		I	P	-
	COPG2		CD	Pd	ENSG00000158623
10q22 	CTNNA3		PD	M	ENSG00000183230
11p15 	H19		I	M	ENSG00000130600
	IGF2		I	P	ENSG00000167244
	IGF2AS		I	P	ENSG00000099869
	INS		I	P	ENSG00000254647
	ASCL2		CD	M	ENSG00000183734
	PHEMX		NI	M	ENSG00000064201
	CD81		NI	M	ENSG00000110651
	TSSC4		NI	M	ENSG00000184281
	TRPM5		PD	P	ENSG00000070985
	KCNQ1		I	M	ENSG00000053918
	KCNQ1OT1		I	P	ENSG00000269821
	KCNQ1DN		I	M	ENSG00000237941
	CDKN1C		I	M	ENSG00000129757
	SLC22A1LS		PD	M	ENSG00000254827
	SLC22A18		I	M	ENSG00000110628
	PHLDA2		I	M	ENSG00000181649
	NAP1L4		NR	M	ENSG00000205531
	OSBPL5		I	M	ENSG00000021762
	ZNF215		PD	M	ENSG00000149054
11p13 	WT1		I	P	ENSG00000184937
	WT1AS		I	P	ENSG00000183242
11q23 	SDHD		CD	P	ENSG00000204370
12q13 	SLC38A4		NR	P	ENSG00000139209
12q21 	DCN		NR	M	ENSG00000011465
13q14 	HTR2A		CD	M	ENSG00000102468
14q32 	DLK1		I	P	ENSG00000185559
	DLK1 downstream transcripts		NR	P	-
	MEG3		I	M	ENSG00000214548
	miR-337		NR	M	ENSG00000199151
	LOC388015		NR	P	ENSG00000254656
	Anti-PEG11	anti-Rtl1	NR	M	-
		miR-127	NR	M	ENSG00000207608
		miR-136	NR	M	ENSG00000207942
	MEG8	MEG8 	NR	M	ENSG00000258399
		miR-370	NR	M	ENSG00000199005
		14q(0)	NR	M	-
		14q(I)	NR	M	-
		14q(II)	NR	M	-
		miR-411	NR	M	ENSG00000199109
		miR-380	NR	M	ENSG00000198982
		miR-376b	NR	M	ENSG00000283556
		miR-376	NR	M	-
		miR-134	NR	M	ENSG00000207993
		miR-154	NR	M	ENSG00000207978
		miR-410	NR	M	ENSG00000199092
	DIO3		NR	P	ENSG00000197406
15q11	MKRN3		I	P	ENSG00000179455
	ZNF127AS		NR	P	ENSG00000260978
	MAGEL2		I	P	ENSG00000254585
	NDN		I	P	ENSG00000182636
	SNURF-SNRPN	SNURF	I	P	ENSG00000273173
		SNRPN	I	P	ENSG00000128739
		HBII-436	I	P	ENSG00000276314
		HBII-13	I	P	ENSG00000276610
		HBII-437	I	P	ENSG00000239014
		HBII-438A	I	P	ENSG00000274640
		PWCR1	I	P	-
		HBII-52	I	P	ENSG00000200638
		HBII-438B	I	P	ENSG00000239169
		UBE3A-AS	I	P	-
	UBE3A		I	M	ENSG00000114062
	ATP10A		I	M	ENSG00000206190
	GABRB3		CD	P	ENSG00000166206
	GABRA5		CD	P	ENSG00000186297
	GABRG3		CD	P	ENSG00000182256
15q21 	GATM		NR	M	ENSG00000171766
15q24 	RASGRF1		NR	P	ENSG00000058335
18q11 	IMPACT		NI	P	ENSG00000154059
18q21	TCEB3C		I	M	ENSG00000183791
19q13 	PEG3		I	P	ENSG00000198300
	ZIM2		I	Pd	ENSG00000269699
	USP29		NR	P	ENSG00000131864
	ZIM3		NR	M	ENSG00000141946
	ZNF264		NR	P	ENSG00000083844
20q11 	NNAT		I	P	ENSG00000053438
20q13 	L3MBTL		I	P	ENSG00000185513
20q13 	GNAS	NESP55	I	M	ENSG00000087460
		GNASXL	I	P	-
		Exon-1A	I	P	-
		GS-?	I	M	-
	SANG		I	P	ENSG00000235590
Xq13 	XIST		NI	P	ENSG00000229807
	TSIX		NI	M	ENSG00000270641
